#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
uwu.social,suspend,false,false,Extremism,false
masochi.st,suspend,false,false,Harassment,false
repl.co,suspend,false,false,Malicious,false
poa.st,suspend,false,false,Bigotry,false
bbs.kawa-kun.com,suspend,false,false,Sexual Violence,true
posting.lolicon.rocks,suspend,false,false,Sexual Violence,true
baraag.net,suspend,false,false,Sexual Violence,true
cawfee.club,suspend,false,false,Bigotry,false
clubcyberia.co,suspend,false,false,Bigotry,false
cum.salon,suspend,false,false,Bigotry,true
freespeechextremist.com,suspend,false,false,Harassment,false
detroitriotcity.com,suspend,false,false,Bigotry,false
rdrama.cc,suspend,false,false,Bigotry,false
ryona.agency,suspend,false,false,Bigotry,false
pawoo.net,suspend,false,false,Extremism,false
freak.university,suspend,false,false,Sexual Violence,true
gameliberty.club,suspend,false,false,Bigotry,false
bae.st,suspend,false,false,Extremism,false
gleasonator.com,suspend,false,false,Bigotry,false
gorf.pub,suspend,false,false,Bigotry,false
shitposter.club,silence,false,false,Bigotry,false
iddqd.social,suspend,false,false,Bigotry,false
leafposter.club,suspend,false,false,Bigotry,false
pieville.net,suspend,false,false,Extremism,false
yggdrasil.social,suspend,false,false,Extremism,false
shortstackran.ch,suspend,false,false,Bigotry,false
freecumextremist.com,suspend,false,false,Sexual Violence,true
freeatlantis.com,suspend,false,false,Extremism,false
nicecrew.digital,suspend,false,false,Bigotry,false
beefyboys.win,suspend,false,false,Extremism,false
sneed.social,suspend,false,false,Bigotry,false
spinster.xyz,suspend,false,false,Bigotry,false
youjo.love,suspend,false,false,Sexual Violence,true
eveningzoo.club,suspend,false,false,Bigotry,false
twitter.activitypub.actor,suspend,false,false,Birdpoop,false
optiplex.wallaby-bass.ts.net,suspend,false,false,Birdpoop,false
varishangout.net,suspend,false,false,Harassment,false
bitcoinhackers.org,silence,false,false,Cryptocurrency,false
helladoge.com,silence,false,false,Cryptocurrency,false
justicewarrior.social,suspend,false,false,Extremism,false
brighteon.social,suspend,false,false,Extremism,false
bestgore.fun,suspend,false,false,Gore,false
ligma.pro,suspend,false,false,Harassment,false
lolison.network,suspend,false,false,Sexual Violence,true
pleroma.kitsunemimi.club,suspend,false,false,Bigotry,false
social.handholding.io,suspend,false,false,Bigotry,false
springbo.cc,suspend,false,false,Bigotry,false
honkwerx.tech,suspend,false,false,Gore,false
kiwifarms.net,suspend,false,false,Bigotry,false
pedo.school,suspend,false,false,Sexual Violence,true
birdsite.tcjc.uk,suspend,false,false,Birdpoop,false
birdsite.frog.fashion,suspend,false,false,Birdpoop,false
birdsite.wilde.cloud,suspend,false,false,Birdpoop,false
birdsite.blazelight.dev,suspend,false,false,Birdpoop,false
birdsite.thorlaksson.com,suspend,false,false,Birdpoop,false
birdsite.lakedrops.com,suspend,false,false,Birdpoop,false
birdsite.slashdev.space,suspend,false,false,Birdpoop,false
birdsite.james.moody.name,suspend,false,false,Birdpoop,false
birdsitelive.treffler.cloud,suspend,false,false,Birdpoop,false
birdsite.platypush.tech,suspend,false,false,Birdpoop,false
birdsite.oliviaappleton.com,suspend,false,false,Birdpoop,false
birdsite.space,suspend,false,false,Birdpoop,false
birdsitelive.nullreference.io,suspend,false,false,Birdpoop,false
birdsitelive.janngobble.synology.me,suspend,false,false,Birdpoop,false
twitterbridge.jannis.rocks,suspend,false,false,Birdpoop,false
news.twtr.plus,suspend,false,false,Birdpoop,false
bridge.birb.space,suspend,false,false,Birdpoop,false
birdbots.leptonics.com,suspend,false,false,Birdpoop,false
bird.makeup,suspend,false,false,Birdpoop,false
pl.tkammer.de,suspend,false,false,Bigotry,false
noagendasocial.com,silence,false,false,Bigotry,false
fed.celp.de,suspend,false,false,Birdpoop,false
twtr.plus,suspend,false,false,Birdpoop,false
bridge.chatterly.me,suspend,false,false,Birdpoop,false
tweets.icu,suspend,false,false,Birdpoop,false
twtr.ingeechat.party,suspend,false,false,Birdpoop,false
tweet.pasture.moe,suspend,false,false,Birdpoop,false
freethinkers.lgbt,suspend,false,false,Harassment,false
social.lovingexpressions.net,suspend,false,false,Extremism,false
milker.cafe,suspend,false,false,Sexual Violence,true
wolfgirl.bar,suspend,false,false,Bigotry,false
sleepy.cafe,suspend,false,false,Sexual Violence,true
twitter.grants.cafe,suspend,false,false,Birdpoop,false
birb.elfenban.de,suspend,false,false,Birdpoop,false
instinctd.com,suspend,false,false,Birdpoop,false
tweetbridge.kogasa.de,suspend,false,false,Birdpoop,false
bsl.tuxz.one,suspend,false,false,Birdpoop,false
cryptodon.lol,silence,false,false,Cryptocurrency,false
mugicha.club,suspend,false,false,Extremism,false
pl.slash.cl,suspend,false,false,Extremism,false
privex.social,suspend,false,false,Extremism,false
quanta.wiki,suspend,false,false,Extremism,false
social.teci.world,suspend,false,false,Extremism,false
strelizia.net,suspend,false,false,Extremism,false
fans.sonichu.com,suspend,false,false,Bigotry,false
hitchhiker.social,suspend,false,false,Bigotry,false
lain.com,suspend,false,false,Bigotry,false
pleroma.soykaf.com,suspend,false,false,Bigotry,false
seal.cafe,suspend,false,false,Bigotry,false
tastingtraffic.net,suspend,false,false,Bigotry,false
hentai.baby,suspend,false,false,Sexual Violence,true
twitter.piriklub.eu,suspend,false,false,Birdpoop,false
twtr.carnivore.social,suspend,false,false,Birdpoop,false
bird.froth.zone,suspend,false,false,Birdpoop,false
chudbuds.lol,suspend,false,false,Gore,false
eatthebugs.social,suspend,false,false,Bigotry,false
lolison.top,suspend,false,false,Sexual Violence,true
twitter.1e400.net,suspend,false,false,Birdpoop,false
birdsite.gxvwb.dev,suspend,false,false,Birdpoop,false
pl.info.natehiggers.online,suspend,false,false,Bigotry,true
poster.place,suspend,false,false,Bigotry,false
rapemeat.solutions,suspend,false,false,Sexual Violence,true
twitterplus.fr,suspend,false,false,Birdpoop,false
social.076.ne.jp,suspend,false,false,Extremism,false
twtr.vrij.social,suspend,false,false,Birdpoop,false
activitypub-troll.cf,suspend,false,false,Malicious,false
qoto.org,silence,false,false,Harassment,false
misskey-forkbomb.cf,suspend,false,false,Malicious,false
mastodong.lol,suspend,false,false,Malicious,false
bitcoin.ninja,silence,false,false,Cryptocurrency,false
bitcoinlizard.net,silence,false,false,Cryptocurrency,false
cryptocartel.social,silence,false,false,Cryptocurrency,false
cryptotalks.social,silence,false,false,Cryptocurrency,false
cryptotooter.com,silence,false,false,Cryptocurrency,false
twitter.doesnotexist.club,suspend,false,false,Birdpoop,false
t.l3r.me,suspend,false,false,Birdpoop,false
test.misskey.cf,suspend,false,false,Birdpoop,false
beta.mstdn.cf,suspend,false,false,Birdpoop,false
federated.fun,suspend,false,false,Bigotry,false
mastodon.satoshishop.de,suspend,false,false,Bigotry,false
breastmilk.club,suspend,false,false,Bigotry,false
banepo.st,suspend,false,false,Bigotry,false
social.prospeech.space,silence,false,false,Bigotry,false
mastinator.com,suspend,false,false,Malicious,false
republic.red,silence,false,false,Bigotry,false
inumbra.xyz,suspend,false,false,Bigotry,false
mastodon.com.tr,silence,false,false,Cryptocurrency,false
firefaithfellowship.com,suspend,false,false,Misinformation,false
writehere.is,suspend,false,false,Extremism ,false
bibly.com,suspend,false,false,Extremism,false
kibitz.cloud,suspend,false,false,Harassment,false
rot.gives,suspend,false,false,Harassment,false
nemoneya.me,suspend,false,false,Malware,false
